Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,21.959999,21.959999,21.799999,21.830000,20.085697,28907
2019-12-30,21.660000,21.770000,21.469999,21.650000,20.357204,14249
2019-12-31,21.730000,21.730000,21.570000,21.690001,20.394817,15500
2020-01-02,21.730000,21.730000,21.670000,21.670000,20.376011,16030
2020-01-03,21.700001,21.770000,21.700001,21.770000,20.470041,19587
2020-01-06,21.959999,21.959999,21.629999,21.804100,20.502104,17474
2020-01-07,21.730000,21.969999,21.673800,21.900000,20.592278,17072
2020-01-08,21.959999,22.000000,21.959999,21.990000,20.676903,7203
2020-01-09,21.990000,22.000000,21.750000,21.942101,20.631865,12659
2020-01-10,22.000000,22.000000,21.930000,21.950001,20.639292,9047
2020-01-13,22.000000,22.000000,21.809999,21.977501,20.665150,19242
2020-01-14,22.000000,22.020000,21.740000,21.760000,20.460638,22651
2020-01-15,21.870001,21.980000,21.799999,21.974400,20.662233,14447
2020-01-16,22.180000,22.200001,21.950001,22.040001,20.723919,32870
2020-01-17,22.190001,22.260000,22.079700,22.260000,20.930780,14505
2020-01-21,22.204500,22.260000,22.160000,22.260000,20.930780,12393
2020-01-22,22.270000,22.610001,22.160000,22.160000,20.836752,36695
2020-01-23,22.216000,22.410000,22.206100,22.299999,20.968391,10834
2020-01-24,22.371799,22.459999,22.299999,22.320000,20.987198,7637
2020-01-27,22.090000,22.299999,22.090000,22.240000,20.911974,8152
2020-01-28,22.177700,22.207001,22.158701,22.184999,20.860258,3065
2020-01-29,22.170000,22.179001,22.030001,22.071400,20.753443,11564
2020-01-30,22.037800,22.225000,22.037800,22.170000,20.846155,6027
2020-01-31,22.110001,22.375000,22.110001,22.370001,21.034212,16397
2020-02-03,22.299999,22.334999,22.290001,22.334999,21.001301,8429
2020-02-04,22.129999,22.299999,22.129999,22.299999,20.968391,16250
2020-02-05,22.260000,22.320000,22.260000,22.299999,20.968391,21151
2020-02-06,22.309999,22.330000,22.290001,22.290001,20.958990,7189
2020-02-07,22.330000,22.330000,22.230000,22.276600,20.946388,14961
2020-02-10,22.290001,22.459999,22.230000,22.450001,21.109436,22054
2020-02-11,22.412300,22.420000,22.341101,22.420000,21.081226,19923
2020-02-12,22.320000,22.570000,22.319799,22.430000,21.090630,16311
2020-02-13,22.430000,22.680000,22.430000,22.680000,21.325701,19453
2020-02-14,22.584000,22.680000,22.510000,22.570000,21.222269,9321
2020-02-18,22.650000,22.650000,22.510000,22.559999,21.212866,2530
2020-02-19,22.760000,22.760000,22.540001,22.540001,21.194061,17507
2020-02-20,22.559999,22.750000,22.559999,22.723000,21.366133,17089
2020-02-21,22.750000,22.809999,22.639999,22.669201,21.315546,20260
2020-02-24,22.610001,22.930000,22.020000,22.020000,20.705112,25799
2020-02-25,22.040001,22.040001,20.490000,21.080000,19.821241,26864
2020-02-26,21.070000,21.469299,20.270000,20.850000,19.604977,35294
2020-02-27,20.549999,21.299999,19.652399,20.250000,19.040804,28012
2020-02-28,19.440001,19.799999,18.639999,19.760000,18.580065,38006
2020-03-02,19.360001,20.150000,19.350000,19.660000,18.486034,22527
2020-03-03,20.629999,20.629999,19.330000,19.330000,18.175741,13490
2020-03-04,19.580000,19.840000,19.520000,19.780001,18.598871,9731
2020-03-05,19.200001,19.549999,17.855101,18.260000,17.169634,55364
2020-03-06,17.740000,17.740000,15.560000,17.150000,16.125916,39918
2020-03-09,15.700000,15.700000,13.000000,13.969300,13.135146,28373
2020-03-10,14.750000,14.767000,12.441800,13.253100,12.461713,23978
2020-03-11,13.180000,13.180000,9.030000,10.400000,9.778980,65459
2020-03-12,9.000000,9.000000,7.266400,7.850000,7.381250,53517
2020-03-13,8.305000,8.470000,6.632100,7.570000,7.117970,70597
2020-03-16,6.510000,7.570000,5.840000,7.570000,7.117970,32026
2020-03-17,6.900000,6.900000,4.740000,4.750000,4.466362,62502
2020-03-18,5.050000,5.050000,3.100000,3.300000,3.102946,44086
2020-03-19,2.250000,5.130000,2.250000,4.500000,4.231290,26147
2020-03-20,4.930000,9.500000,4.900000,8.000000,7.522293,52251
2020-03-23,7.200000,7.200000,4.520000,5.430000,5.105756,36474
2020-03-24,5.430000,5.430000,4.180000,4.727000,4.444735,55447
2020-03-25,5.000000,8.000000,5.000000,6.850000,6.440963,58005
2020-03-26,7.300000,9.040000,7.300000,8.700000,8.180493,36266
2020-03-27,10.000000,10.000000,7.850000,7.850000,7.381250,16078
2020-03-30,7.950000,8.000000,7.050000,7.050000,7.050000,13297
2020-03-31,6.750000,7.060000,6.420000,6.730000,6.730000,16792
2020-04-01,5.560000,5.610000,4.500000,4.510000,4.510000,22773
2020-04-02,4.850000,5.680000,4.640000,5.380000,5.380000,55694
2020-04-03,5.072900,5.230000,4.790000,5.090000,5.090000,11414
2020-04-06,5.090000,5.820000,5.010100,5.300000,5.300000,17030
2020-04-07,5.500000,6.030000,5.340000,5.870000,5.870000,24590
2020-04-08,6.250000,6.790000,6.250000,6.579700,6.579700,14581
2020-04-09,7.200000,7.980000,6.800700,7.096100,7.096100,34258
2020-04-13,7.110000,7.290000,6.453500,6.900000,6.900000,18199
2020-04-14,6.260000,7.068800,6.010000,6.440000,6.440000,25452
2020-04-15,6.960000,7.250000,6.140000,6.152700,6.152700,12129
2020-04-16,6.330000,6.416500,6.000000,6.130000,6.130000,17679
2020-04-17,6.340000,6.340000,6.040000,6.040000,6.040000,23299
2020-04-20,6.000000,6.086000,5.830000,6.010000,6.010000,18695
2020-04-21,6.000000,6.010000,5.540000,5.540000,5.540000,11023
2020-04-22,5.730000,5.745000,5.310000,5.310000,5.310000,7395
2020-04-23,5.780000,5.780000,5.200000,5.326500,5.326500,36172
2020-04-24,5.520000,5.520000,5.060500,5.090000,5.090000,8134
2020-04-27,5.000000,5.280000,4.510100,5.200000,5.200000,57531
2020-04-28,5.280000,5.290000,4.890000,5.140000,5.140000,33312
2020-04-29,5.470000,6.000000,5.260000,6.000000,6.000000,83250
2020-04-30,6.530000,6.750000,5.793000,6.660000,6.660000,39420
2020-05-01,6.600000,6.600000,6.010000,6.019700,6.019700,8743
